relation,a,b,c,d
5_pa.pa,Sak,Saknuvantu,spf,spfRvantu
8_pa.pa,kzan,kzaRvIDvam,kf,kurvIDvam
1_pa.pa,raYj,rajatAm,svan,svanatAm
6_pa.pa,kuw,kuwaTaH,il,ilaTaH
5_pa.pa,daG,daGyAsta,Sak,SakyAsta
3_A.pa,nij,nenijIta,mA,mimIta
7_pa.pa,vfj,vfYjyAtAm,und,undyAtAm
6_pa.pa,kuw,kuwyetAm,fz,fzyetAm
7_A.pa,kzud,kzuttvA,vic,viktvA
10_pa.pa,guRq,aguRqyAmahi,spfh,asparhyAmahi
7_A.pa,tfd,tfdyete,vic,vicyete
5_A.pa,kf,kriyasva,aS,aSyasva
2_pa.pa,kzRu,akzROH,lA,alAH
3_A.pa,hA,hAyeyAtAm,nij,nijyeyAtAm
9_A.pa,lU,aluni,prI,aprIRi
5_pa.pa,daG,daGnuyAm,Sak,SaknuyAm
6_A.pa,lip,limpasi,kfz,kfzasi
4_pa.pa,pluz,pluzyeta,Sliz,Slizyeta
7_A.pa,vic,viYcyAtAm,kzud,kzundyAtAm
10_pa.pa,kaRq,kaRqayaDvam,guRq,guRqayaDvam
8_pa.pa,kf,karozi,kzan,kzaRozi
10_A.pa,kuts,kutsyase,spaS,spASyase
6_A.pa,kfz,kfzyaDve,gur,guryaDve
1_pa.pa,svan,svanyeya,vah,uhyeya
7_A.pa,kzud,kzotsyanti,vic,vekzyanti
9_A.pa,vf,vriyeyATAm,lU,lUyeyATAm
6_A.pa,gur,guryAsma,lip,lipyAsma
4_pa.pa,Sliz,aSlizyatam,pluz,apluzyatam
1_A.pa,BrAj,BrAjizyate,DAv,DAvizyate
1_A.pa,DAv,DAvyAstAm,BrAj,BrAjyAstAm
8_pa.pa,san,asanuta,kzan,akzaRuta
3_A.pa,nij,nenijATAm,hA,jihATAm
4_A.pa,mfz,marzitA,ri,retA
5_pa.pa,spf,pasparaTuH,daG,deGaTuH
5_pa.pa,spf,spfRu,Sak,Saknuhi
8_pa.pa,kzan,kzanitAsmi,san,sanitAsmi
8_pa.pa,kzan,kzanizyati,kf,karizyati
10_A.pa,kuts,akutsayatAm,Barts,aBartsayatAm
10_pa.pa,kaRq,akaRqyata,guRq,aguRqyata
4_A.pa,yuj,yuyujatuH,ri,riryatuH
9_A.pa,prI,prIyAt,vf,vriyAt
7_A.pa,tfd,atfdyaDvam,kzud,akzudyaDvam
8_pa.pa,kf,kartAraH,san,sanitAraH
4_pa.pa,pluz,pupluza,snih,sizRiha
4_A.pa,mfz,mfzyAmaH,yuj,yujyAmaH
5_pa.pa,daG,adaGnutAm,spf,aspfRutAm
4_A.pa,mfz,mamfzire,yuj,yuyujire
9_A.pa,prI,prIRAmahE,vf,vfRAmahE
10_A.pa,kuts,kutsaya,Barts,Bartsaya
6_A.pa,kfz,kfzyAsma,lip,lipyAsma
1_A.pa,BrAj,BrAjyAvahE,ven,venyAvahE
10_pa.pa,spfh,spfhayatAm,guRq,guRqayatAm
2_pa.pa,kzRu,kzRuyAsuH,lA,lAyAsuH
7_A.pa,tfd,tfndantu,kzud,kzundantu
7_pa.pa,vfj,vfNktaH,und,unttaH
1_pa.pa,raYj,rajyaDve,svan,svanyaDve
10_pa.pa,guRq,guRqayitAsTa,spfh,spfhayitAsTa
1_A.pa,BrAj,aBrAjanta,DAv,aDAvanta
9_A.pa,prI,prIyeTAH,vf,vriyeTAH
9_pa.pa,dF,dIryAsta,aS,aSyAsta
2_pa.pa,kzRu,kzROti,lA,lAti
1_A.pa,BrAj,BrAjyAH,ven,venyAH
9_A.pa,vf,avfRIDvam,prI,aprIRIDvam
2_pa.pa,prA,aprAH,lA,alAH
1_pa.pa,raYj,rajyaDvam,svan,svanyaDvam
5_A.pa,aS,aSyAmahe,ci,cIyAmahe
5_A.pa,kf,kfRvAtAm,aS,aSnuvAtAm
9_A.pa,prI,prIRAsi,vf,vfRAsi
4_pa.pa,snih,snihyantAm,Sliz,SlizyantAm
2_pa.pa,kzRu,akzRuyanta,lA,alAyanta
5_A.pa,kf,kfRavAvahE,ci,cinavAvahE
2_A.pa,SI,SayAvahE,duh,dohAvahE
1_A.pa,ven,venitAsTa,DAv,DAvitAsTa
1_A.pa,BrAj,BrAjitArO,DAv,DAvitArO
4_pa.pa,pluz,pluzyAma,Sliz,SlizyAma
7_pa.pa,Siz,SiSizatuH,und,UndatuH
6_A.pa,kfz,kfzyE,lip,lipyE
7_A.pa,tfd,tfdyeyATAm,vic,vicyeyATAm
2_A.pa,duh,duhvahe,hnu,hnuvahe
6_pa.pa,kuw,kuwyeTAH,il,ilyeTAH
7_A.pa,vic,vekzyAmaH,kzud,kzotsyAmaH
4_pa.pa,Sliz,SlizyantAm,pluz,pluzyantAm
6_pa.pa,il,ilyemahi,fz,fzyemahi
5_pa.pa,daG,deGa,spf,paspara
8_pa.pa,kf,karizyeTe,san,sanizyeTe
6_A.pa,kfz,kfzye,gur,gurye
10_A.pa,kuts,kutsayete,Barts,Bartsayete
5_A.pa,kf,akriyetAm,aS,ASyetAm
5_pa.pa,spf,sparyE,Sak,SakyE
10_pa.pa,kaRq,akaRqaye,guRq,aguRqaye
5_pa.pa,Sak,aSaknavam,spf,aspfRavam
3_A.pa,nij,nektArO,mA,mAtArO
8_pa.pa,kzan,akzanyanta,san,asanyanta
8_A.pa,man,manyeTe,van,vanyeTe
4_A.pa,yuj,ayujyAvahi,ri,arIyAvahi
10_pa.pa,spfh,spfhayizyate,guRq,guRqayizyate
3_pa.pa,BI,aBIyaTAH,viz,avizyaTAH
8_pa.pa,kf,kuryAtam,san,sanuyAtam
7_A.pa,tfd,tfdyAsta,vic,vicyAsta
1_pa.pa,vah,avahe,raYj,araje
4_A.pa,ri,arIyAvahi,yuj,ayujyAvahi
4_A.pa,mfz,marzizyati,yuj,yokzyati
2_A.pa,SI,Serate,hnu,hnuvate
4_A.pa,ri,rIyE,mfz,mfzyE
8_pa.pa,kf,kriyemahi,san,sanyemahi
5_pa.pa,daG,daGye,spf,sparye
8_pa.pa,kf,kriyeyAtAm,san,sanyeyAtAm
9_A.pa,lU,lunItam,vf,vfRItam
1_A.pa,DAv,DAvetAm,ven,venetAm
10_pa.pa,kaRq,kaRqayitA,guRq,guRqayitA
10_pa.pa,kaRq,kaRqayizyante,guRq,guRqayizyante
7_A.pa,tfd,atfRat,kzud,akzuRat
4_A.pa,mfz,amfzye,yuj,ayujye
1_A.pa,BrAj,BrAjitAsvaH,ven,venitAsvaH
6_A.pa,kfz,kfzyeta,gur,guryeta
6_pa.pa,fz,fzyaDve,il,ilyaDve
6_A.pa,lip,limpeH,kfz,kfzeH
6_A.pa,lip,limpeyATAm,gur,gureyATAm
4_pa.pa,pluz,pluzyetam,Sliz,Slizyetam
7_A.pa,tfd,tatfdire,vic,vivicire
4_A.pa,yuj,yujyAsuH,mfz,mfzyAsuH
1_A.pa,ven,venitAsi,DAv,DAvitAsi
10_A.pa,kuts,kutsayataH,spaS,spASayataH
1_pa.pa,svan,sasvAna,raYj,raraYja
8_pa.pa,kzan,kzanyasva,san,sanyasva
7_A.pa,tfd,tfnde,kzud,kzunde
3_A.pa,nij,nenejAmahE,mA,mimAmahE
2_A.pa,hnu,hnuze,duh,Dukze
3_pa.pa,BI,BetAsvaH,viz,vezwAsvaH
6_A.pa,kfz,cakfzuH,lip,lilipuH
1_A.pa,DAv,aDAvye,BrAj,aBrAjye
10_pa.pa,kaRq,kaRqayAvahE,spfh,spfhayAvahE
7_A.pa,tfd,tfndIvahi,vic,viYcIvahi
7_A.pa,kzud,kzudyeTAH,vic,vicyeTAH
6_pa.pa,fz,fzAma,il,ilAma
4_pa.pa,snih,sizRiha,Sliz,SiSliza
10_pa.pa,kaRq,akaRqyaDvam,spfh,asparhyaDvam
5_A.pa,ci,cIyAsam,aS,aSyAsam
2_A.pa,duh,duhImahi,SI,SayImahi
10_pa.pa,guRq,guRqyeDvam,spfh,sparhyeDvam
5_pa.pa,Sak,aSakyaDvam,spf,asparyaDvam
3_pa.pa,viz,vizyeran,BI,BIyeran
1_pa.pa,svan,svanema,vah,vahema
7_A.pa,vic,viYcATe,kzud,kzundATe
10_A.pa,kuts,kutsayAva,Barts,BartsayAva
7_A.pa,kzud,kzundIyATAm,vic,viYcIyATAm
9_pa.pa,grah,grahItAraH,aS,aSitAraH
2_A.pa,SI,SayIyAtAm,hnu,hnuvIyAtAm
8_pa.pa,kf,akriyAmahi,san,asanyAmahi
6_A.pa,kfz,cakfzimahe,lip,lilipimahe
1_pa.pa,svan,svanyAstam,raYj,rajyAstam
2_pa.pa,prA,prAtaH,lA,lAtaH
9_A.pa,prI,prIyate,vf,vriyate
10_A.pa,Barts,Bartsayitum,spaS,spaSayitum
3_pa.pa,pF,pipratu,BI,biByatu
4_pa.pa,Sliz,SlizyAsma,snih,snihyAsma
1_A.pa,DAv,DAvyate,BrAj,BrAjyate
10_pa.pa,spfh,spfhayAma,kaRq,kaRqayAma
8_pa.pa,kzan,akzanye,kf,akriye
7_A.pa,kzud,kzundIyATAm,tfd,tfndIyATAm
4_A.pa,ri,rIyAsta,mfz,mfzyAsta
5_pa.pa,spf,aspfRot,daG,adaGnot
2_A.pa,hnu,juhnuvire,duh,duduhire
4_pa.pa,pluz,pluzyAvaH,Sliz,SlizyAvaH
6_A.pa,kfz,kfzAva,lip,limpAva
10_pa.pa,guRq,guRqayeya,kaRq,kaRqayeya
1_pa.pa,raYj,rajasi,svan,svanasi
10_A.pa,kuts,akutsayAma,Barts,aBartsayAma
10_pa.pa,kaRq,kaRqayAni,guRq,guRqayAni
10_pa.pa,spfh,asparhyaTAH,kaRq,akaRqyaTAH
10_pa.pa,kaRq,kaRqayasi,spfh,spfhayasi
8_A.pa,van,vanyAstam,man,manyAstam
9_A.pa,lU,lunIta,vf,vfRIta
8_pa.pa,kzan,kzanizyataH,san,sanizyataH
2_A.pa,SI,Sayyase,duh,duhyase
9_A.pa,prI,prIRIta,vf,vfRIta
7_A.pa,kzud,cukzoda,tfd,tatarda
2_A.pa,duh,duhyAstAm,hnu,hnUyAstAm
6_pa.pa,kuw,cukuwima,il,Iylima
4_pa.pa,Sliz,SlizyAma,snih,snihyAma
5_pa.pa,Sak,Sakyevahi,spf,sparyevahi
3_pa.pa,viz,vizyAsma,BI,BIyAsma
1_pa.pa,vah,Ohyanta,raYj,arajyanta
3_A.pa,hA,jahATe,nij,niniYjATe
6_A.pa,kfz,kfzeTe,gur,gureTe
4_A.pa,ri,rIyasva,yuj,yujyasva
4_A.pa,mfz,marzitAsTa,yuj,yoktAsTa
8_A.pa,man,manyante,van,vanyante
8_pa.pa,kf,karizyate,kzan,kzanizyate
6_pa.pa,il,ilyAsta,kuw,kuwyAsta
9_A.pa,vf,vriyaDvam,lU,lUyaDvam
9_pa.pa,grah,grahItAsTa,aS,aSitAsTa
7_A.pa,kzud,kzudyE,vic,vicyE
10_pa.pa,spfh,spfhayataH,kaRq,kaRqayataH
9_A.pa,vf,avriyeTAm,prI,aprIyeTAm
10_A.pa,spaS,spaSayAvahE,kuts,kutsayAvahE
4_pa.pa,Sliz,aSlizyaDvam,snih,asnihyaDvam
10_pa.pa,spfh,spfhayaTaH,guRq,guRqayaTaH
10_A.pa,spaS,aspASyaDvam,Barts,aBartsyaDvam
6_A.pa,kfz,kfzetam,lip,limpetam
7_A.pa,vic,aviYcmahi,tfd,atfndmahi
10_A.pa,kuts,kutsayizyAvahe,Barts,BartsayizyAvahe
4_A.pa,yuj,yujyase,ri,rIyase
5_A.pa,aS,aSnuvAtAm,ci,cinvAtAm
3_pa.pa,viz,vivizwAm,pF,pipFtAm
3_pa.pa,BI,biBItaH,pF,pipFtaH
7_A.pa,vic,vektAsi,kzud,kzottAsi
1_A.pa,BrAj,BrAjaDvam,DAv,DAvaDvam
3_A.pa,nij,nijyAt,mA,mIyAt
10_pa.pa,kaRq,akaRqayaTAH,spfh,aspfhayaTAH
8_pa.pa,kf,karavAva,san,sanavAva
1_pa.pa,raYj,arajAma,svan,asvanAma
3_pa.pa,pF,pipFyAtam,BI,biBIyAtam
2_pa.pa,kzRu,kzRuyAma,prA,prAyAma
10_A.pa,Barts,Bartsayeta,kuts,kutsayeta
5_A.pa,ci,cezyAmahe,aS,aSizyAmahe
3_pa.pa,BI,aBIyata,viz,avizyata
7_pa.pa,Siz,aSiMzwa,vfj,avfNkta
10_A.pa,Barts,BartsyeyAtAm,spaS,spaSyeyAtAm
4_A.pa,mfz,amfzyetAm,ri,arIyetAm
4_pa.pa,pluz,plozizyati,Sliz,Slekzyati
5_A.pa,kf,kartAraH,ci,cetAraH
6_A.pa,gur,jugurATe,lip,lilipATe
8_pa.pa,kf,kurvAtAm,kzan,kzaRvAtAm
8_pa.pa,kzan,kzaRvIta,san,sanvIta
1_A.pa,DAv,daDAvaTuH,ven,vavenaTuH
1_A.pa,ven,venyeTAH,BrAj,BrAjyeTAH
7_A.pa,vic,vicyante,kzud,kzudyante
7_A.pa,tfd,atfndata,vic,aviYcata
5_pa.pa,spf,sparyeTe,Sak,SakyeTe
9_pa.pa,aS,aSyeTAH,dF,dIryeTAH
5_pa.pa,daG,daGitAsvaH,spf,spartAsvaH
9_A.pa,vf,vfRIyAma,prI,prIRIyAma
5_A.pa,aS,aSnuvIvahi,kf,kfRvIvahi
8_pa.pa,kf,kurvatAm,san,sanvatAm
10_A.pa,Barts,aBartsayata,spaS,aspASayata
3_A.pa,hA,hAyevahi,nij,nijyevahi
1_pa.pa,svan,asvanyetAm,vah,OhyetAm
6_A.pa,gur,agureTAm,kfz,akfzeTAm
9_A.pa,vf,avfRITAH,lU,alunITAH
5_pa.pa,daG,daGnuvantu,spf,spfRvantu
10_A.pa,kuts,kutsayeTAm,spaS,spaSayeTAm
10_pa.pa,kaRq,akaRqayatAm,guRq,aguRqayatAm
9_pa.pa,aS,aSyante,dF,dIryante
8_pa.pa,kzan,kzanizyati,san,sanizyati
3_A.pa,hA,hAyante,mA,mIyante
10_pa.pa,kaRq,akaRqayatam,spfh,aspfhayatam
2_A.pa,SI,Sevahe,duh,duhvahe
9_A.pa,lU,lavizyaTaH,prI,prezyaTaH
9_pa.pa,dF,dIryE,aS,aSyE
7_A.pa,tfd,tfndantu,vic,viYcantu
9_A.pa,prI,aprIRIva,lU,alunIva
4_pa.pa,Sliz,aSlizyat,snih,asnihyat
4_A.pa,ri,arIyanta,mfz,amfzyanta
4_A.pa,mfz,mamarza,yuj,yuyoja
1_pa.pa,vah,uhyAt,svan,svanyAt
3_A.pa,hA,jihIta,nij,nenijIta
7_A.pa,kzud,kzundantu,vic,viYcantu
4_A.pa,mfz,mfzyeTAH,ri,rIyeTAH
2_pa.pa,kzRu,kzRuyAH,prA,prAyAH
10_pa.pa,guRq,aguRqayAma,kaRq,akaRqayAma
6_A.pa,lip,limpemahi,kfz,kfzemahi
4_A.pa,mfz,mfzyeyam,yuj,yujyeyam
10_pa.pa,spfh,spfhayase,guRq,guRqayase
8_pa.pa,san,sanuyuH,kf,kuryuH
10_A.pa,Barts,BartsayizyAmi,kuts,kutsayizyAmi
4_A.pa,mfz,marzitAsTaH,ri,retAsTaH
3_A.pa,mA,mimatAm,hA,jihatAm
9_A.pa,vf,avfRItam,prI,aprIRItam
8_pa.pa,kzan,akzaRuTAH,san,asanuTAH
8_pa.pa,kzan,kzaRomi,kf,karomi
5_pa.pa,Sak,Sakye,spf,sparye
5_A.pa,ci,cezye,kf,karizye
4_A.pa,ri,riryiDve,mfz,mamfziDve
4_A.pa,mfz,amfzyAvahi,ri,arIyAvahi
4_pa.pa,snih,snihyAstAm,pluz,pluzyAstAm
5_A.pa,aS,aSyAsta,kf,kriyAsta
6_pa.pa,fz,AnfzuH,kuw,cukuwuH
5_A.pa,aS,aSnuvIta,ci,cinvIta
7_A.pa,tfd,tatfdatuH,vic,vivicatuH
10_pa.pa,kaRq,kaRqayizyaTa,guRq,guRqayizyaTa
2_pa.pa,lA,alAyAmahi,kzRu,akzRuyAmahi
8_pa.pa,san,sanvIyATAm,kzan,kzaRvIyATAm
8_pa.pa,kzan,kzanyeTAm,kf,kriyeTAm
5_A.pa,aS,ASnuDvam,kf,akfRuDvam
2_pa.pa,kzRu,kzRuyasva,lA,lAyasva
2_A.pa,duh,duhATAm,hnu,hnuvATAm
8_pa.pa,kzan,kzaRyAsuH,san,sanyAsuH
10_A.pa,kuts,kutsayizyati,Barts,Bartsayizyati
7_A.pa,vic,vicyeDvam,tfd,tfdyeDvam
7_A.pa,tfd,tatfda,kzud,cukzuda
5_pa.pa,Sak,Sakzyati,daG,daGizyati
10_A.pa,spaS,spaSyetAm,kuts,kutsyetAm
9_A.pa,prI,prIRItam,lU,lunItam
1_pa.pa,vah,uhyAsam,raYj,rajyAsam
3_A.pa,nij,niniYjAte,hA,jahAte
5_pa.pa,spf,sparyAstam,daG,daGyAstam
2_A.pa,duh,dugDve,hnu,hnuDve
7_A.pa,kzud,kzundatAm,tfd,tfndatAm
6_A.pa,lip,lipyAt,gur,guryAt
4_pa.pa,pluz,apluzyata,Sliz,aSlizyata
1_A.pa,ven,venyeta,BrAj,BrAjyeta
5_pa.pa,Sak,Sakyate,spf,sparyate
7_A.pa,vic,viviciDve,kzud,cukzudiDve
2_A.pa,duh,aduhyanta,SI,aSayyanta
7_A.pa,kzud,akzundan,tfd,atfndan
9_pa.pa,aS,ASaTuH,dF,dadaraTuH
5_A.pa,aS,ASyanta,ci,acIyanta
3_pa.pa,viz,vivizaTuH,BI,biByaTuH
