relation,a,b,c,d
son-father,dakza,brahmA,nalakUbaraH,kuberaH
son-father,dakza,brahmA,indrajit,rAvaRa
son-father,dakza,brahmA,rAvaRa,visrava
son-father,dakza,brahmA,visrava,pulastya
son-father,dakza,brahmA,SAntanu,kuru
son-father,dakza,brahmA,yuyutsu,DftarAzwra
son-father,dakza,brahmA,vriSketu,karRa
son-father,dakza,brahmA,vabrUvAhana,arjuna
son-father,dakza,brahmA,prativinDya,yuDizWira
son-father,dakza,brahmA,sutasoma,BIma
son-father,dakza,brahmA,srutakarma,sahadeva
son-father,dakza,brahmA,satAtika,nakula
son-father,dakza,brahmA,parikSit,janamejaya
son-father,dakza,brahmA,irAvan,arjuna
son-father,dakza,brahmA,srutakIrti,arjuna
son-father,dakza,brahmA,karRa,sUryadeva
son-father,dakza,brahmA,daSaraTa,aja
son-father,dakza,brahmA,rAma,daSaraTa
son-father,dakza,brahmA,lakzmaRa,daSaraTa
son-father,dakza,brahmA,Barata,daSaraTa
son-father,dakza,brahmA,SatruGna,daSaraTa
son-father,dakza,brahmA,hanumAn,vAyU
son-father,dakza,brahmA,Sakuni,suvala
son-father,dakza,brahmA,vriSaka,suvala
son-father,dakza,brahmA,jambumali,prahasta
son-father,dakza,brahmA,lava,rAma
son-father,dakza,brahmA,kuSa,rAma
son-father,dakza,brahmA,nala,viSvakarmA
son-father,dakza,brahmA,jawAyu,aruna
son-father,dakza,brahmA,triSira,rAvaRa
son-father,dakza,brahmA,atikAya,rAvaRa
son-father,dakza,brahmA,angada,bAli
son-father,dakza,brahmA,bArbarika,Gawotkaca
son-father,dakza,brahmA,banasena,karRa
son-father,dakza,brahmA,balarAm,vAsudeva
son-father,dakza,brahmA,durmasena,duHSAsana
son-father,drupadA,sriKanqI,aBimanyu,arjuna
son-father,drupadA,sriKanqI,dakza,brahmA
son-father,drupadA,sriKanqI,Gawotkaca,BIma
son-father,drupadA,sriKanqI,pralhada,hiraRyakaSipu
son-father,drupadA,sriKanqI,arjuna,indra
son-father,drupadA,sriKanqI,aSvatTAmA,droRA
son-father,drupadA,sriKanqI,BIzmA,SAntanu
son-father,drupadA,sriKanqI,DftarAzwra,vicitravIrya
son-father,drupadA,sriKanqI,SiSupAla,dAmaGoza
son-father,drupadA,sriKanqI,SukrAcArya,Bfgu
son-father,drupadA,sriKanqI,gaReSaH,SivaH
son-father,drupadA,sriKanqI,anirudDaH,kAmadevaH
son-father,drupadA,sriKanqI,kArtikeyaH,SivaH
son-father,drupadA,sriKanqI,uzwraSiSuH,uzwraH
son-father,drupadA,sriKanqI,kAmadevaH,vizRuH
son-father,drupadA,sriKanqI,vizRuH,vasudevaH
son-father,drupadA,sriKanqI,sanatkumAraH,brahmA
son-father,drupadA,sriKanqI,jayantaH,indraH
son-father,drupadA,sriKanqI,nalakUbaraH,kuberaH
son-father,drupadA,sriKanqI,indrajit,rAvaRa
son-father,drupadA,sriKanqI,rAvaRa,visrava
son-father,drupadA,sriKanqI,visrava,pulastya
son-father,drupadA,sriKanqI,SAntanu,kuru
son-father,drupadA,sriKanqI,yuyutsu,DftarAzwra
son-father,drupadA,sriKanqI,vriSketu,karRa
son-father,drupadA,sriKanqI,vabrUvAhana,arjuna
son-father,drupadA,sriKanqI,prativinDya,yuDizWira
son-father,drupadA,sriKanqI,sutasoma,BIma
son-father,drupadA,sriKanqI,srutakarma,sahadeva
son-father,drupadA,sriKanqI,satAtika,nakula
son-father,drupadA,sriKanqI,parikSit,janamejaya
son-father,drupadA,sriKanqI,irAvan,arjuna
son-father,drupadA,sriKanqI,srutakIrti,arjuna
son-father,drupadA,sriKanqI,karRa,sUryadeva
son-father,drupadA,sriKanqI,daSaraTa,aja
son-father,drupadA,sriKanqI,rAma,daSaraTa
son-father,drupadA,sriKanqI,lakzmaRa,daSaraTa
son-father,drupadA,sriKanqI,Barata,daSaraTa
son-father,drupadA,sriKanqI,SatruGna,daSaraTa
son-father,drupadA,sriKanqI,hanumAn,vAyU
son-father,drupadA,sriKanqI,Sakuni,suvala
son-father,drupadA,sriKanqI,vriSaka,suvala
son-father,drupadA,sriKanqI,jambumali,prahasta
son-father,drupadA,sriKanqI,lava,rAma
son-father,drupadA,sriKanqI,kuSa,rAma
son-father,drupadA,sriKanqI,nala,viSvakarmA
son-father,drupadA,sriKanqI,jawAyu,aruna
son-father,drupadA,sriKanqI,triSira,rAvaRa
son-father,drupadA,sriKanqI,atikAya,rAvaRa
son-father,drupadA,sriKanqI,angada,bAli
son-father,drupadA,sriKanqI,bArbarika,Gawotkaca
son-father,drupadA,sriKanqI,banasena,karRa
son-father,drupadA,sriKanqI,balarAm,vAsudeva
son-father,drupadA,sriKanqI,durmasena,duHSAsana
son-father,Gawotkaca,BIma,aBimanyu,arjuna
son-father,Gawotkaca,BIma,dakza,brahmA
son-father,Gawotkaca,BIma,drupadA,sriKanqI
son-father,Gawotkaca,BIma,pralhada,hiraRyakaSipu
son-father,Gawotkaca,BIma,arjuna,indra
son-father,Gawotkaca,BIma,aSvatTAmA,droRA
son-father,Gawotkaca,BIma,BIzmA,SAntanu
son-father,Gawotkaca,BIma,DftarAzwra,vicitravIrya
son-father,Gawotkaca,BIma,SiSupAla,dAmaGoza
son-father,Gawotkaca,BIma,SukrAcArya,Bfgu
son-father,Gawotkaca,BIma,gaReSaH,SivaH
son-father,Gawotkaca,BIma,anirudDaH,kAmadevaH
son-father,Gawotkaca,BIma,kArtikeyaH,SivaH
son-father,Gawotkaca,BIma,uzwraSiSuH,uzwraH
son-father,Gawotkaca,BIma,kAmadevaH,vizRuH
son-father,Gawotkaca,BIma,vizRuH,vasudevaH
son-father,Gawotkaca,BIma,sanatkumAraH,brahmA
son-father,Gawotkaca,BIma,jayantaH,indraH
son-father,Gawotkaca,BIma,nalakUbaraH,kuberaH
son-father,Gawotkaca,BIma,indrajit,rAvaRa
son-father,Gawotkaca,BIma,rAvaRa,visrava
son-father,Gawotkaca,BIma,visrava,pulastya
son-father,Gawotkaca,BIma,SAntanu,kuru
son-father,Gawotkaca,BIma,yuyutsu,DftarAzwra
son-father,Gawotkaca,BIma,vriSketu,karRa
son-father,Gawotkaca,BIma,vabrUvAhana,arjuna
son-father,Gawotkaca,BIma,prativinDya,yuDizWira
son-father,Gawotkaca,BIma,sutasoma,BIma
son-father,Gawotkaca,BIma,srutakarma,sahadeva
son-father,Gawotkaca,BIma,satAtika,nakula
son-father,Gawotkaca,BIma,parikSit,janamejaya
son-father,Gawotkaca,BIma,irAvan,arjuna
son-father,Gawotkaca,BIma,srutakIrti,arjuna
son-father,Gawotkaca,BIma,karRa,sUryadeva
son-father,Gawotkaca,BIma,daSaraTa,aja
son-father,Gawotkaca,BIma,rAma,daSaraTa
son-father,Gawotkaca,BIma,lakzmaRa,daSaraTa
son-father,Gawotkaca,BIma,Barata,daSaraTa
son-father,Gawotkaca,BIma,SatruGna,daSaraTa
son-father,Gawotkaca,BIma,hanumAn,vAyU
son-father,Gawotkaca,BIma,Sakuni,suvala
son-father,Gawotkaca,BIma,vriSaka,suvala
son-father,Gawotkaca,BIma,jambumali,prahasta
son-father,Gawotkaca,BIma,lava,rAma
son-father,Gawotkaca,BIma,kuSa,rAma
son-father,Gawotkaca,BIma,nala,viSvakarmA
son-father,Gawotkaca,BIma,jawAyu,aruna
son-father,Gawotkaca,BIma,triSira,rAvaRa
son-father,Gawotkaca,BIma,atikAya,rAvaRa
son-father,Gawotkaca,BIma,angada,bAli
son-father,Gawotkaca,BIma,bArbarika,Gawotkaca
son-father,Gawotkaca,BIma,banasena,karRa
son-father,Gawotkaca,BIma,balarAm,vAsudeva
son-father,Gawotkaca,BIma,durmasena,duHSAsana
son-father,pralhada,hiraRyakaSipu,aBimanyu,arjuna
son-father,pralhada,hiraRyakaSipu,dakza,brahmA
son-father,pralhada,hiraRyakaSipu,drupadA,sriKanqI
son-father,pralhada,hiraRyakaSipu,Gawotkaca,BIma
son-father,pralhada,hiraRyakaSipu,arjuna,indra
son-father,pralhada,hiraRyakaSipu,aSvatTAmA,droRA
son-father,pralhada,hiraRyakaSipu,BIzmA,SAntanu
son-father,pralhada,hiraRyakaSipu,DftarAzwra,vicitravIrya
son-father,pralhada,hiraRyakaSipu,SiSupAla,dAmaGoza
son-father,pralhada,hiraRyakaSipu,SukrAcArya,Bfgu
son-father,pralhada,hiraRyakaSipu,gaReSaH,SivaH
son-father,pralhada,hiraRyakaSipu,anirudDaH,kAmadevaH
son-father,pralhada,hiraRyakaSipu,kArtikeyaH,SivaH
son-father,pralhada,hiraRyakaSipu,uzwraSiSuH,uzwraH
son-father,pralhada,hiraRyakaSipu,kAmadevaH,vizRuH
son-father,pralhada,hiraRyakaSipu,vizRuH,vasudevaH
son-father,pralhada,hiraRyakaSipu,sanatkumAraH,brahmA
son-father,pralhada,hiraRyakaSipu,jayantaH,indraH
son-father,pralhada,hiraRyakaSipu,nalakUbaraH,kuberaH
son-father,pralhada,hiraRyakaSipu,indrajit,rAvaRa
son-father,pralhada,hiraRyakaSipu,rAvaRa,visrava
son-father,pralhada,hiraRyakaSipu,visrava,pulastya
son-father,pralhada,hiraRyakaSipu,SAntanu,kuru
son-father,pralhada,hiraRyakaSipu,yuyutsu,DftarAzwra
son-father,pralhada,hiraRyakaSipu,vriSketu,karRa
son-father,pralhada,hiraRyakaSipu,vabrUvAhana,arjuna
son-father,pralhada,hiraRyakaSipu,prativinDya,yuDizWira
son-father,pralhada,hiraRyakaSipu,sutasoma,BIma
son-father,pralhada,hiraRyakaSipu,srutakarma,sahadeva
son-father,pralhada,hiraRyakaSipu,satAtika,nakula
son-father,pralhada,hiraRyakaSipu,parikSit,janamejaya
son-father,pralhada,hiraRyakaSipu,irAvan,arjuna
son-father,pralhada,hiraRyakaSipu,srutakIrti,arjuna
son-father,pralhada,hiraRyakaSipu,karRa,sUryadeva
son-father,pralhada,hiraRyakaSipu,daSaraTa,aja
son-father,pralhada,hiraRyakaSipu,rAma,daSaraTa
son-father,pralhada,hiraRyakaSipu,lakzmaRa,daSaraTa
son-father,pralhada,hiraRyakaSipu,Barata,daSaraTa
son-father,pralhada,hiraRyakaSipu,SatruGna,daSaraTa
son-father,pralhada,hiraRyakaSipu,hanumAn,vAyU
son-father,pralhada,hiraRyakaSipu,Sakuni,suvala
son-father,pralhada,hiraRyakaSipu,vriSaka,suvala
son-father,pralhada,hiraRyakaSipu,jambumali,prahasta
son-father,pralhada,hiraRyakaSipu,lava,rAma
son-father,pralhada,hiraRyakaSipu,kuSa,rAma
son-father,pralhada,hiraRyakaSipu,nala,viSvakarmA
son-father,pralhada,hiraRyakaSipu,jawAyu,aruna
son-father,pralhada,hiraRyakaSipu,triSira,rAvaRa
son-father,pralhada,hiraRyakaSipu,atikAya,rAvaRa
son-father,pralhada,hiraRyakaSipu,angada,bAli
son-father,pralhada,hiraRyakaSipu,bArbarika,Gawotkaca
son-father,pralhada,hiraRyakaSipu,banasena,karRa
son-father,pralhada,hiraRyakaSipu,balarAm,vAsudeva
son-father,pralhada,hiraRyakaSipu,durmasena,duHSAsana
son-father,arjuna,indra,aBimanyu,arjuna
son-father,arjuna,indra,dakza,brahmA
son-father,arjuna,indra,drupadA,sriKanqI
son-father,arjuna,indra,Gawotkaca,BIma
son-father,arjuna,indra,pralhada,hiraRyakaSipu
son-father,arjuna,indra,aSvatTAmA,droRA
son-father,arjuna,indra,BIzmA,SAntanu
son-father,arjuna,indra,DftarAzwra,vicitravIrya
son-father,arjuna,indra,SiSupAla,dAmaGoza
son-father,arjuna,indra,SukrAcArya,Bfgu
son-father,arjuna,indra,gaReSaH,SivaH
son-father,arjuna,indra,anirudDaH,kAmadevaH
son-father,arjuna,indra,kArtikeyaH,SivaH
son-father,arjuna,indra,uzwraSiSuH,uzwraH
son-father,arjuna,indra,kAmadevaH,vizRuH
son-father,arjuna,indra,vizRuH,vasudevaH
son-father,arjuna,indra,sanatkumAraH,brahmA
son-father,arjuna,indra,jayantaH,indraH
son-father,arjuna,indra,nalakUbaraH,kuberaH
son-father,arjuna,indra,indrajit,rAvaRa
son-father,arjuna,indra,rAvaRa,visrava
son-father,arjuna,indra,visrava,pulastya
son-father,arjuna,indra,SAntanu,kuru
son-father,arjuna,indra,yuyutsu,DftarAzwra
son-father,arjuna,indra,vriSketu,karRa
son-father,arjuna,indra,vabrUvAhana,arjuna
son-father,arjuna,indra,prativinDya,yuDizWira
son-father,arjuna,indra,sutasoma,BIma
son-father,arjuna,indra,srutakarma,sahadeva
son-father,arjuna,indra,satAtika,nakula
son-father,arjuna,indra,parikSit,janamejaya
son-father,arjuna,indra,irAvan,arjuna
son-father,arjuna,indra,srutakIrti,arjuna
son-father,arjuna,indra,karRa,sUryadeva
son-father,arjuna,indra,daSaraTa,aja
son-father,arjuna,indra,rAma,daSaraTa
son-father,arjuna,indra,lakzmaRa,daSaraTa
son-father,arjuna,indra,Barata,daSaraTa
son-father,arjuna,indra,SatruGna,daSaraTa
son-father,arjuna,indra,hanumAn,vAyU
son-father,arjuna,indra,Sakuni,suvala
son-father,arjuna,indra,vriSaka,suvala
son-father,arjuna,indra,jambumali,prahasta
son-father,arjuna,indra,lava,rAma
son-father,arjuna,indra,kuSa,rAma
son-father,arjuna,indra,nala,viSvakarmA
son-father,arjuna,indra,jawAyu,aruna
son-father,arjuna,indra,triSira,rAvaRa
son-father,arjuna,indra,atikAya,rAvaRa
son-father,arjuna,indra,angada,bAli
son-father,arjuna,indra,bArbarika,Gawotkaca
son-father,arjuna,indra,banasena,karRa
son-father,arjuna,indra,balarAm,vAsudeva
son-father,arjuna,indra,durmasena,duHSAsana
son-father,aSvatTAmA,droRA,aBimanyu,arjuna
son-father,aSvatTAmA,droRA,dakza,brahmA
son-father,aSvatTAmA,droRA,drupadA,sriKanqI
son-father,aSvatTAmA,droRA,Gawotkaca,BIma
son-father,aSvatTAmA,droRA,pralhada,hiraRyakaSipu
son-father,aSvatTAmA,droRA,arjuna,indra
son-father,aSvatTAmA,droRA,BIzmA,SAntanu
son-father,aSvatTAmA,droRA,DftarAzwra,vicitravIrya
son-father,aSvatTAmA,droRA,SiSupAla,dAmaGoza
son-father,aSvatTAmA,droRA,SukrAcArya,Bfgu
son-father,aSvatTAmA,droRA,gaReSaH,SivaH
son-father,aSvatTAmA,droRA,anirudDaH,kAmadevaH
son-father,aSvatTAmA,droRA,kArtikeyaH,SivaH
son-father,aSvatTAmA,droRA,uzwraSiSuH,uzwraH
son-father,aSvatTAmA,droRA,kAmadevaH,vizRuH
son-father,aSvatTAmA,droRA,vizRuH,vasudevaH
son-father,aSvatTAmA,droRA,sanatkumAraH,brahmA
son-father,aSvatTAmA,droRA,jayantaH,indraH
son-father,aSvatTAmA,droRA,nalakUbaraH,kuberaH
son-father,aSvatTAmA,droRA,indrajit,rAvaRa
son-father,aSvatTAmA,droRA,rAvaRa,visrava
son-father,aSvatTAmA,droRA,visrava,pulastya
son-father,aSvatTAmA,droRA,SAntanu,kuru
son-father,aSvatTAmA,droRA,yuyutsu,DftarAzwra
son-father,aSvatTAmA,droRA,vriSketu,karRa
son-father,aSvatTAmA,droRA,vabrUvAhana,arjuna
son-father,aSvatTAmA,droRA,prativinDya,yuDizWira
son-father,aSvatTAmA,droRA,sutasoma,BIma
son-father,aSvatTAmA,droRA,srutakarma,sahadeva
son-father,aSvatTAmA,droRA,satAtika,nakula
son-father,aSvatTAmA,droRA,parikSit,janamejaya
son-father,aSvatTAmA,droRA,irAvan,arjuna
son-father,aSvatTAmA,droRA,srutakIrti,arjuna
son-father,aSvatTAmA,droRA,karRa,sUryadeva
son-father,aSvatTAmA,droRA,daSaraTa,aja
son-father,aSvatTAmA,droRA,rAma,daSaraTa
son-father,aSvatTAmA,droRA,lakzmaRa,daSaraTa
son-father,aSvatTAmA,droRA,Barata,daSaraTa
son-father,aSvatTAmA,droRA,SatruGna,daSaraTa
son-father,aSvatTAmA,droRA,hanumAn,vAyU
son-father,aSvatTAmA,droRA,Sakuni,suvala
son-father,aSvatTAmA,droRA,vriSaka,suvala
son-father,aSvatTAmA,droRA,jambumali,prahasta
son-father,aSvatTAmA,droRA,lava,rAma
son-father,aSvatTAmA,droRA,kuSa,rAma
son-father,aSvatTAmA,droRA,nala,viSvakarmA
son-father,aSvatTAmA,droRA,jawAyu,aruna
son-father,aSvatTAmA,droRA,triSira,rAvaRa
son-father,aSvatTAmA,droRA,atikAya,rAvaRa
son-father,aSvatTAmA,droRA,angada,bAli
son-father,aSvatTAmA,droRA,bArbarika,Gawotkaca
son-father,aSvatTAmA,droRA,banasena,karRa
son-father,aSvatTAmA,droRA,balarAm,vAsudeva
son-father,aSvatTAmA,droRA,durmasena,duHSAsana
son-father,BIzmA,SAntanu,aBimanyu,arjuna
son-father,BIzmA,SAntanu,dakza,brahmA
son-father,BIzmA,SAntanu,drupadA,sriKanqI
son-father,BIzmA,SAntanu,Gawotkaca,BIma
son-father,BIzmA,SAntanu,pralhada,hiraRyakaSipu
son-father,BIzmA,SAntanu,arjuna,indra
son-father,BIzmA,SAntanu,aSvatTAmA,droRA
son-father,BIzmA,SAntanu,DftarAzwra,vicitravIrya
son-father,BIzmA,SAntanu,SiSupAla,dAmaGoza
son-father,BIzmA,SAntanu,SukrAcArya,Bfgu
son-father,BIzmA,SAntanu,gaReSaH,SivaH
son-father,BIzmA,SAntanu,anirudDaH,kAmadevaH
son-father,BIzmA,SAntanu,kArtikeyaH,SivaH
son-father,BIzmA,SAntanu,uzwraSiSuH,uzwraH
son-father,BIzmA,SAntanu,kAmadevaH,vizRuH
son-father,BIzmA,SAntanu,vizRuH,vasudevaH
son-father,BIzmA,SAntanu,sanatkumAraH,brahmA
son-father,BIzmA,SAntanu,jayantaH,indraH
son-father,BIzmA,SAntanu,nalakUbaraH,kuberaH
son-father,BIzmA,SAntanu,indrajit,rAvaRa
son-father,BIzmA,SAntanu,rAvaRa,visrava
son-father,BIzmA,SAntanu,visrava,pulastya
son-father,BIzmA,SAntanu,SAntanu,kuru
son-father,BIzmA,SAntanu,yuyutsu,DftarAzwra
son-father,BIzmA,SAntanu,vriSketu,karRa
son-father,BIzmA,SAntanu,vabrUvAhana,arjuna
son-father,BIzmA,SAntanu,prativinDya,yuDizWira
son-father,BIzmA,SAntanu,sutasoma,BIma
son-father,BIzmA,SAntanu,srutakarma,sahadeva
son-father,BIzmA,SAntanu,satAtika,nakula
son-father,BIzmA,SAntanu,parikSit,janamejaya
son-father,BIzmA,SAntanu,irAvan,arjuna
son-father,BIzmA,SAntanu,srutakIrti,arjuna
son-father,BIzmA,SAntanu,karRa,sUryadeva
son-father,BIzmA,SAntanu,daSaraTa,aja
son-father,BIzmA,SAntanu,rAma,daSaraTa
son-father,BIzmA,SAntanu,lakzmaRa,daSaraTa
son-father,BIzmA,SAntanu,Barata,daSaraTa
son-father,BIzmA,SAntanu,SatruGna,daSaraTa
son-father,BIzmA,SAntanu,hanumAn,vAyU
son-father,BIzmA,SAntanu,Sakuni,suvala
son-father,BIzmA,SAntanu,vriSaka,suvala
son-father,BIzmA,SAntanu,jambumali,prahasta
son-father,BIzmA,SAntanu,lava,rAma
son-father,BIzmA,SAntanu,kuSa,rAma
son-father,BIzmA,SAntanu,nala,viSvakarmA
son-father,BIzmA,SAntanu,jawAyu,aruna
son-father,BIzmA,SAntanu,triSira,rAvaRa
son-father,BIzmA,SAntanu,atikAya,rAvaRa
son-father,BIzmA,SAntanu,angada,bAli
son-father,BIzmA,SAntanu,bArbarika,Gawotkaca
son-father,BIzmA,SAntanu,banasena,karRa
son-father,BIzmA,SAntanu,balarAm,vAsudeva
son-father,BIzmA,SAntanu,durmasena,duHSAsana
son-father,DftarAzwra,vicitravIrya,aBimanyu,arjuna
son-father,DftarAzwra,vicitravIrya,dakza,brahmA
son-father,DftarAzwra,vicitravIrya,drupadA,sriKanqI
son-father,DftarAzwra,vicitravIrya,Gawotkaca,BIma
son-father,DftarAzwra,vicitravIrya,pralhada,hiraRyakaSipu
son-father,DftarAzwra,vicitravIrya,arjuna,indra
son-father,DftarAzwra,vicitravIrya,aSvatTAmA,droRA
son-father,DftarAzwra,vicitravIrya,BIzmA,SAntanu
son-father,DftarAzwra,vicitravIrya,SiSupAla,dAmaGoza
son-father,DftarAzwra,vicitravIrya,SukrAcArya,Bfgu
son-father,DftarAzwra,vicitravIrya,gaReSaH,SivaH
son-father,DftarAzwra,vicitravIrya,anirudDaH,kAmadevaH
son-father,DftarAzwra,vicitravIrya,kArtikeyaH,SivaH
son-father,DftarAzwra,vicitravIrya,uzwraSiSuH,uzwraH
son-father,DftarAzwra,vicitravIrya,kAmadevaH,vizRuH
son-father,DftarAzwra,vicitravIrya,vizRuH,vasudevaH
son-father,DftarAzwra,vicitravIrya,sanatkumAraH,brahmA
son-father,DftarAzwra,vicitravIrya,jayantaH,indraH
son-father,DftarAzwra,vicitravIrya,nalakUbaraH,kuberaH
son-father,DftarAzwra,vicitravIrya,indrajit,rAvaRa
son-father,DftarAzwra,vicitravIrya,rAvaRa,visrava
son-father,DftarAzwra,vicitravIrya,visrava,pulastya
son-father,DftarAzwra,vicitravIrya,SAntanu,kuru
son-father,DftarAzwra,vicitravIrya,yuyutsu,DftarAzwra
son-father,DftarAzwra,vicitravIrya,vriSketu,karRa
son-father,DftarAzwra,vicitravIrya,vabrUvAhana,arjuna
son-father,DftarAzwra,vicitravIrya,prativinDya,yuDizWira
son-father,DftarAzwra,vicitravIrya,sutasoma,BIma
son-father,DftarAzwra,vicitravIrya,srutakarma,sahadeva
son-father,DftarAzwra,vicitravIrya,satAtika,nakula
son-father,DftarAzwra,vicitravIrya,parikSit,janamejaya
son-father,DftarAzwra,vicitravIrya,irAvan,arjuna
son-father,DftarAzwra,vicitravIrya,srutakIrti,arjuna
son-father,DftarAzwra,vicitravIrya,karRa,sUryadeva
son-father,DftarAzwra,vicitravIrya,daSaraTa,aja
son-father,DftarAzwra,vicitravIrya,rAma,daSaraTa
son-father,DftarAzwra,vicitravIrya,lakzmaRa,daSaraTa
son-father,DftarAzwra,vicitravIrya,Barata,daSaraTa
son-father,DftarAzwra,vicitravIrya,SatruGna,daSaraTa
son-father,DftarAzwra,vicitravIrya,hanumAn,vAyU
son-father,DftarAzwra,vicitravIrya,Sakuni,suvala
son-father,DftarAzwra,vicitravIrya,vriSaka,suvala
son-father,DftarAzwra,vicitravIrya,jambumali,prahasta
son-father,DftarAzwra,vicitravIrya,lava,rAma
son-father,DftarAzwra,vicitravIrya,kuSa,rAma
son-father,DftarAzwra,vicitravIrya,nala,viSvakarmA
son-father,DftarAzwra,vicitravIrya,jawAyu,aruna
son-father,DftarAzwra,vicitravIrya,triSira,rAvaRa
son-father,DftarAzwra,vicitravIrya,atikAya,rAvaRa
son-father,DftarAzwra,vicitravIrya,angada,bAli
son-father,DftarAzwra,vicitravIrya,bArbarika,Gawotkaca
son-father,DftarAzwra,vicitravIrya,banasena,karRa
son-father,DftarAzwra,vicitravIrya,balarAm,vAsudeva
son-father,DftarAzwra,vicitravIrya,durmasena,duHSAsana
son-father,SiSupAla,dAmaGoza,aBimanyu,arjuna
son-father,SiSupAla,dAmaGoza,dakza,brahmA
son-father,SiSupAla,dAmaGoza,drupadA,sriKanqI
son-father,SiSupAla,dAmaGoza,Gawotkaca,BIma
son-father,SiSupAla,dAmaGoza,pralhada,hiraRyakaSipu
son-father,SiSupAla,dAmaGoza,arjuna,indra
son-father,SiSupAla,dAmaGoza,aSvatTAmA,droRA
son-father,SiSupAla,dAmaGoza,BIzmA,SAntanu
son-father,SiSupAla,dAmaGoza,DftarAzwra,vicitravIrya
son-father,SiSupAla,dAmaGoza,SukrAcArya,Bfgu
son-father,SiSupAla,dAmaGoza,gaReSaH,SivaH
son-father,SiSupAla,dAmaGoza,anirudDaH,kAmadevaH
